total_costs,Node similarity to best solution,Edge similarity to best solution,Average Node similarity to all other local optima,Average Edge similarity to all other local optima
53119.0,90,40,84.65965965965965,24.802802802802802
53256.0,84,24,83.8008008008008,26.293293293293292
52118.0,88,39,83.32732732732732,29.046046046046047
49434.0,84,30,83.1911911911912,30.63163163163163
55431.0,84,26,81.42142142142143,23.29029029029029
53587.0,81,35,81.33233233233233,26.885885885885887
56979.0,87,24,83.14114114114115,22.41841841841842
48967.0,86,36,83.43043043043043,31.04204204204204
53167.0,83,31,82.74674674674675,27.286286286286288
51178.0,85,35,82.96796796796797,27.68268268268268
52079.0,85,28,83.05105105105105,25.73173173173173
51752.0,82,32,81.42942942942943,29.02802802802803
50844.0,82,36,80.93493493493493,30.85785785785786
50527.0,84,40,82.95995995995996,28.96796796796797
50010.0,88,43,85.61161161161161,31.4014014014014
52637.0,84,25,83.82782782782783,25.56856856856857
53469.0,83,36,82.69869869869869,25.85185185185185
54206.0,82,26,82.47447447447448,23.96096096096096
51873.0,86,34,81.4104104104104,26.37937937937938
49571.0,83,38,83.45645645645645,30.463463463463462
55754.0,82,25,81.84084084084084,24.28828828828829
53356.0,84,30,83.55655655655656,24.70770770770771
50643.0,84,36,81.7997997997998,31.046046046046047
53766.0,82,32,83.998998998999,25.904904904904903
51367.0,88,33,84.1911911911912,27.08208208208208
54603.0,84,27,84.86886886886887,24.96196196196196
49204.0,86,47,84.52652652652652,32.71771771771772
51068.0,84,34,82.57957957957957,28.01101101101101
52122.0,82,30,83.33933933933933,28.69069069069069
53259.0,82,28,83.04204204204204,25.922922922922922
53110.0,82,28,81.76876876876877,27.20820820820821
53926.0,85,32,84.56556556556556,24.83983983983984
53525.0,89,36,82.41441441441441,26.536536536536538
50746.0,82,35,80.81281281281281,27.4014014014014
50542.0,83,31,83.30530530530531,28.7987987987988
52457.0,80,28,81.45645645645645,27.785785785785787
50499.0,88,37,83.72872872872873,28.82982982982983
49679.0,84,38,83.41941941941941,31.22822822822823
56579.0,84,25,82.5955955955956,20.872872872872872
52207.0,83,25,82.69669669669669,25.16816816816817
50149.0,87,41,83.90190190190191,29.145145145145147
50390.0,81,35,82.26126126126127,29.88788788788789
51544.0,85,33,83.55955955955956,27.73173173173173
49988.0,84,38,83.91791791791792,29.435435435435437
51523.0,85,28,84.28928928928929,26.82182182182182
51767.0,85,37,84.62062062062063,27.43743743743744
52628.0,87,40,82.81981981981981,25.56956956956957
49230.0,88,41,84.02702702702703,30.217217217217218
50217.0,82,39,81.24424424424424,26.94894894894895
52349.0,86,34,83.42242242242243,26.51051051051051
53450.0,84,32,83.004004004004,26.76976976976977
54575.0,81,31,80.62662662662663,24.853853853853852
50357.0,85,35,83.24824824824825,30.365365365365367
50912.0,84,39,82.6046046046046,28.7977977977978
53416.0,82,27,82.77977977977977,25.67867867867868
52747.0,89,38,83.56256256256256,25.74874874874875
52423.0,85,33,84.11011011011011,26.213213213213212
52813.0,82,26,83.47147147147147,26.177177177177178
53817.0,86,35,83.98298298298299,25.804804804804803
50546.0,82,28,81.55755755755756,29.54954954954955
57221.0,84,24,82.61861861861861,24.263263263263262
52868.0,83,30,82.29529529529529,25.037037037037038
52078.0,86,34,82.68268268268268,27.33933933933934
48804.0,85,40,85.06806806806807,33.11811811811812
50846.0,88,41,82.66166166166167,27.7007007007007
49921.0,82,37,83.31831831831832,32.12312312312312
53171.0,82,33,82.76876876876877,26.456456456456458
48941.0,85,40,84.17017017017017,31.356356356356358
54504.0,80,32,80.77477477477477,24.78778778778779
53399.0,86,36,82.73373373373373,26.6006006006006
52292.0,82,27,82.96196196196196,28.254254254254253
47396.0,88,47,84.25925925925925,33.430430430430434
58082.0,79,22,81.09809809809809,21.96796796796797
51748.0,85,36,84.32332332332332,26.86786786786787
53478.0,83,34,83.4084084084084,27.795795795795797
53427.0,85,35,83.54254254254255,26.27927927927928
52178.0,86,41,81.89389389389389,25.88788788788789
49670.0,82,36,84.22522522522523,30.393393393393392
52232.0,85,37,82.78578578578579,27.9019019019019
52592.0,86,32,83.51051051051051,26.65165165165165
