total_costs,Node similarity to best solution,Edge similarity to best solution,Average Node similarity to all other local optima,Average Edge similarity to all other local optima
84837.0,88,22,87.8048048048048,17.75975975975976
79427.0,88,35,87.29829829829829,21.715715715715717
81168.0,92,30,88.92592592592592,20.82882882882883
79633.0,89,32,88.47247247247248,21.606606606606608
84159.0,91,24,87.29929929929929,18.55855855855856
83010.0,88,22,86.25425425425425,20.92092092092092
77103.0,89,34,89.3913913913914,24.833833833833832
83478.0,90,39,89.1961961961962,20.454454454454453
86236.0,89,26,87.35635635635636,19.203203203203202
80876.0,90,32,87.26926926926927,20.924924924924923
79080.0,91,34,86.35435435435436,21.76776776776777
87499.0,86,20,86.77577577577577,16.98998998998999
83890.0,86,18,86.98198198198199,17.755755755755757
87387.0,89,27,85.04604604604604,17.98098098098098
85827.0,88,25,87.44244244244244,19.19219219219219
81580.0,90,35,87.46646646646647,21.046046046046047
82575.0,92,30,88.69769769769769,19.955955955955957
84179.0,88,20,87.37837837837837,17.56756756756757
90259.0,90,24,88.58558558558559,18.08208208208208
81908.0,91,26,88.1991991991992,19.956956956956958
81263.0,87,28,86.35435435435436,20.59259259259259
85990.0,89,20,87.06906906906907,18.014014014014013
87746.0,92,30,88.41641641641641,17.66166166166166
80840.0,92,30,89.47847847847848,21.52252252252252
88975.0,89,25,87.31231231231232,16.536536536536538
83966.0,89,33,86.89089089089089,19.63763763763764
83053.0,88,26,87.24224224224224,19.174174174174173
80924.0,87,25,87.62662662662663,19.65865865865866
83110.0,90,28,88.97997997997997,19.54054054054054
84184.0,93,30,88.8028028028028,18.973973973973973
80906.0,85,25,86.54354354354355,21.713713713713712
86773.0,91,23,88.76376376376376,18.084084084084083
81297.0,89,33,86.11111111111111,20.82882882882883
83344.0,89,20,87.37237237237237,18.474474474474473
83669.0,86,25,85.92992992992993,18.73873873873874
84321.0,87,21,89.3973973973974,19.61161161161161
79391.0,87,25,87.45645645645645,22.624624624624623
84000.0,88,32,87.82182182182183,19.40840840840841
83408.0,89,24,88.01801801801801,18.944944944944943
81754.0,88,31,88.26426426426427,21.883883883883883
82982.0,88,23,87.14014014014015,18.744744744744743
79424.0,91,37,87.90690690690691,22.61861861861862
90305.0,89,27,86.86186186186187,16.2012012012012
85230.0,89,24,89.45345345345345,17.335335335335337
76235.0,90,37,88.49449449449449,24.56256256256256
86873.0,87,25,88.16616616616616,17.26226226226226
79903.0,87,31,86.61161161161161,21.45845845845846
81800.0,89,26,88.3893893893894,20.72772772772773
79859.0,90,26,88.52452452452452,20.86786786786787
85439.0,90,23,87.96896896896897,17.1001001001001
85090.0,87,30,87.72972972972973,19.433433433433432
86931.0,88,27,88.08508508508508,18.093093093093092
80512.0,89,27,88.50150150150151,21.2992992992993
87250.0,89,18,86.85185185185185,16.81981981981982
85862.0,88,24,88.47347347347348,19.644644644644643
82769.0,87,30,86.57757757757757,19.5975975975976
81706.0,87,22,87.48948948948949,19.87887887887888
84306.0,89,27,88.21221221221221,19.52752752752753
82974.0,89,27,88.46046046046047,19.974974974974973
79583.0,88,35,87.52652652652652,22.09209209209209
83700.0,89,28,87.83883883883884,19.46146146146146
83842.0,90,28,87.21521521521521,18.20820820820821
80825.0,92,33,89.21821821821821,21.32032032032032
82435.0,87,27,86.58658658658659,18.916916916916918
85943.0,87,24,87.3983983983984,18.22022022022022
